TRANSACTION_NO,ACCOUNT_NO,TRANSACTION_DATE,TRANSACTION_DETAILS,CHQ_NO,VALUE_DATE,WITHDRAWAL_AMT,DEPOSIT_AMT,BALANCE_AMT
947312,ETIG68879661980611,10-06-2022 16:49,NEFT,832764,24-06-2022 16:49,736079,36753,17947
609229,RCVB16865604763826,26-04-2022 05:21,Other,310149,28-05-2022 05:21,570911,262778,452721
321842,KJWY04787313682038,09-04-2022 07:44,Other,638418,17-05-2022 07:44,703759,340674,832238
465680,MMTS77656791512089,18-05-2022 07:56,Other,142954,01-08-2022 07:56,503982,666363,540284
80479,GGAH79914746800787,08-04-2022 18:06,Other,842580,15-05-2022 18:06,599753,538596,348505
682252,PZYX34622721581407,23-05-2022 17:34,NEFT,831144,26-05-2022 17:34,820215,304540,341776
561542,EGMP57658409728121,12-05-2022 06:12,Cheque,11547,25-05-2022 06:12,846205,270104,65645
142056,XYZV95865493379306,01-05-2022 14:37,Other,317931,11-06-2022 14:37,24039,623331,179625
320126,OSIT95213942732269,17-05-2022 19:32,RTGS,993317,05-08-2022 19:32,942099,432640,112856
853550,LYGR82857563376945,17-04-2022 10:59,Cheque,155011,26-06-2022 10:59,847803,150625,255807
687981,TMOC29208400010505,30-05-2022 06:46,IMPS,205240,30-07-2022 06:46,228187,772225,754654
982177,KWOM06048261438510,27-04-2022 16:24,IMPS,116177,31-07-2022 16:24,771482,207918,870114
486787,CTUC94051836013676,14-05-2022 22:47,RTGS,21041,22-06-2022 22:47,776320,577332,611068
923473,EQBX28353650131667,17-05-2022 18:08,NEFT,205687,22-05-2022 18:08,39375,432868,630750
783020,VNGP56791623037769,29-04-2022 12:36,RTGS,517831,24-06-2022 12:36,945284,201597,153629
789505,LZYE81341551736912,30-04-2022 04:14,Other,587870,18-05-2022 04:14,814906,158856,601581
749441,YLRO86639073909994,20-04-2022 22:38,NEFT,337834,20-07-2022 22:38,648636,525518,878021
817557,GVMV33273839735036,19-05-2022 06:26,Other,330140,03-08-2022 06:26,590655,33460,97905
